Labels,Translation,Decision
"Cat, Mammal, Felidae, Aegean cat, Small to medium-sized cats, Facial expression, Whiskers, Carnivore, European shorthair, American curl",Wonderful pictures of cats in the streets of the Moroccan city of Chefchaouen _ # Jerusalem newspaper # Palestine # Morocco,real
"Dish, Food, Cuisine, Ingredient, Basmati, Produce, White rice, Steamed rice, Staple food, Rice","Today's dish .. mushrooms and chicken with cream, coconut oil and curry are fancy ingredients .. # Jerusalem newspaper # Palestine # dish today",real
"Floor, Flooring, Carpet, Architecture, Temple, World, Building, Tile","In light of the continuation of the Corona virus, and its spread in the world, the Ministry of Awqaf and Religious Affairs worked to sterilize and purify the Noble Ibrahim Sanctuary in the center of Hebron, to protect and protect worshipers, and to limit the spread of the virus. # Palestine # Corona Virus # Al-Haram Ibrahimi",real
"Mammal, Vertebrate, Felidae, Lion, Animal shelter, Zoo, Carnivore, Big cats, Wildlife, Terrestrial animal",Rafah Zoo sterilization for fear of corona. # Animal Park # Gaza # Corona virus # Pictures # Jerusalem newspaper,real
"Flame, Fire, Heat, Gas, Ash","The Olympic flame of the 2020 Tokyo Olympics was ignited in Greece today, Thursday, before a limited number of guests who reached 100 due to the Corona virus .. # Olympic_fire # Greece # Tokyo_Olympics",real
"Rain, Water, Vehicle, Precipitation, Scooter, Fashion accessory, Street, Umbrella",Heavy rains fall on Cairo .. # rains #winter # low_space # Cairo,real
"Food, Cuisine, Dish, Ingredient, Baking, Dough, Bun, Sourdough, Bread, Baked goods","Bidya # From 4 am, Mrs. Fatima Al-Khatib begins work to provide a decent life for her and her family # Al-Quds Newspaper # Palestine # Bidya # Women Achievements",fake
"Tree, Woody plant, Branch, Plant, Sky, Twig",Effects of the air depression on the Gaza Strip .. # Gaza # air_ low # rain # pictures # winter,fake
"Landmark, Sky, Architecture, Blue, Building, Town, City, Town square, Public space, Human settlement","The Italian capital, Rome, nicknamed the Eternal City, is today an empty city and will remain so for the next two weeks. # Italy # Corona Virus # Tourism # Pictures",real
"Street, Town, Pedestrian, Road, Alley, Urban area, Lane, Water, Infrastructure, Neighbourhood","The streets of Bethlehem are empty, and the shops are closed due to Corona .. # Meat_ # Corona Virus # Pictures # Shops",real
"Landmark, Tower, Sky, Spire, Cloud, Monument, Architecture, National historic landmark, Evening, Tourist attraction",The Eiffel Tower is closed in Paris until further notice due to the Corona virus .. # Eiffel Tower # Corona Virus # Paris # photos,real
"Room, Interior design, Building, Curtain, Ceiling, Architecture, Floor, Office, Bathroom, Furniture","Preparing the emergency hospital for a preliminary and therapeutic examination for those infected with the Corona virus in the city of Halhul, north of Hebron .. # Palestine # Corona_Virus # Hospital",real
"Photograph, White, Snapshot, Street fashion, Beauty, Standing, Fashion, Photography, Street, Style",Because of Corona .. Apple closes its stores around the world and opens them in China .. # Apple_ Company # Shops # Corona Virus # Pictures,fake
"Lane, Road, Vehicle, Motorcycling, Infrastructure, Line, Street, Thoroughfare, Asphalt, Motorcycle",Spanish cities are turning into ghost towns because of the Corona virus .. # Spain # Corona virus # photos # cities,fake
"Dish, Food, Cuisine, Ingredient, Dessert, Produce, Recipe, Snack, Frozen dessert, Granola",A nutritious and delicious breakfast meal .. thyme brings us back to the days and memories of beautiful childhood # Al-Jerusalem newspaper # healthy breakfast # thyme # childhood,real
"Wall, Fortification, Castle, Architecture, Sky, Stone wall, Waterway, Road, Infrastructure, Building",Corona paralyzes tourism in Jerusalem ... # Jerusalem # tourism # Corona virus # pictures,fake
"Balcony, Window, Handrail, Facade","Civil Defense crews during the sterilization of neighborhoods in Aida camp, north of Bethlehem, to limit the spread of the Corona virus .. #Aidah camp # Bethlehem # Corona virus",real
"White, Arm, Facial hair, Photography, Neck, Smile, Beard, Gesture, Sleeve, Portrait",British global actor Idris Elba announced on Monday that he had contracted the emerging coronavirus or Covid-19.,real
"Sky, Nature, Mountainous landforms, Natural landscape, Cloud, Hill, Highland, Mountain, Panorama, Grassland","Good morning, love for you from the picturesque Palestinian nature. Lens by Suhaib Shawahana. # Al-Quds Newspaper # Palestine # Nature # Spring # Good morning",real
"Laboratory, Chemist, Pharmacy, Hand, Laboratory equipment, Research, Finger, Researcher, Nail, Science",Ramallah: The process of examining samples suspected of being infected with the Corona virus in central health laboratories. Photo: Bahaa Nasr / Wafa # Al-Quds Newspaper # Corona # Palestine,real
"Food, Cuisine, Dish, Ingredient, Flatbread, Naan, Soda bread, Baked goods, Bread, Sourdough",Deir Ballut # Al-Hajjah Umm Yasir is over seventy years old and is still preparing bread for her family on the wood-burning oven with a lens: Muhammad Shtayeh # Al-Quds Newspaper # Palestine # Bread-Taboon,real
"Soldier, Army, Military uniform, Military, Military camouflage, People, Military person, Troop, Military organization, Infantry","The deployment of the Jordanian army in the capital, Amman, to impose measures to counter Corona ... #Jordanian army #Krona virus # Amman",real
"Sky, Cloud, Urban area, Metropolitan area, Daytime, City, Landmark, Town, Human settlement, Natural landscape",The mountains of Jaljaliya and the beautiful spring of Palestine ... with a lens: Mahmoud Matan # Jerusalem newspaper # Palestine # Mountains # nature,real
"Event, Crowd",With distant distances ... worshipers perform Zuhr prayer in the blessed Al-Aqsa Mosque shortly # Al-Quds Newspaper # Al-Aqsa # Corona,real
"Town square, Urban design, Public space, City, Urban area, Intersection, Metropolitan area, Human settlement, Architecture, Street","Unusually, the alleys of the popular Taksim area in central Istanbul these days seem devoid of visitors, after all entertainment venues have been closed ...",real
"Dome, Dome, Holy places, Landmark, Mosque, Building, Water, Architecture, Sky, Tourism",Rainfall on the blessed Al-Aqsa Mosque and the Dome of the Rock yesterday Friday ... # Al-Aqsa Mosque # Rain # Jerusalem # Pictures,real
"Soldier, Military, Helmet, Military person, Military officer, Personal protective equipment, Vehicle, Military organization, Infantry, Security",The Jordanian armed forces and security services continue to deploy in the various governorates of the Kingdom to impose a curfew to counter the outbreak of the Corona Virus .. # Jordan # The Jordanian Army # The Corona Virus # Pictures,real
"People, Child, Smile, Event, Temple, Tanghulu",One of the manifestations of celebrating Mother's Day in Ramallah .. # Mother's Day # Ramallah - # Corona Virus,fake
"Dish, Food, Cuisine, Ingredient, Produce, Comfort food, Recipe, Vegetarian food, Tomato, Lunch",An integrated breakfast to strengthen immunity # The Jerusalem newspaper # Palestine # Breakfast,real
"Military camouflage, Military uniform, Soldier, Army, People, Military, Uniform, Troop, Military organization, Military person",The streets of Amman on the second day of the curfew to fight the outbreak of Corona ... # Jordan # curfew # Corona virus # photos # Jerusalem_ newspaper,real
"Motor vehicle, People, Vehicle, Car, Transport, Mode of transport, Fashion, Infrastructure, Urban area, Mid-size car","Closure of wedding halls in Gaza, fearing the spread of corona, pushing young men in Gaza to marry within limited procedures and in the presence of their relatives within the grooms ’homes.",fake
"Water, Sky, Sea, Beach, Vacation, Tourism, Ocean, Vehicle, Sand, Cloud",Fishing in the Gaza Strip today .. # fishing_fishing #shore #gaza #photos #fisher,real
"Food, Meal, Dish, Cuisine, Ingredient, Comfort food, Breakfast, Brunch, Lunch, Full breakfast",Dear followers..read Al-Quds daily newspaper from your homes through the link: # Al-Quds Newspaper # news # follow-up # analyzes # credibility,fake
"Sky, Cloud, City, Cityscape, Metropolitan area, Skyline, Urban area, Atmospheric phenomenon, Human settlement, Metropolis","Al-Aqsa Mosque .. The first of the two kisses and the third of the two holy mosques and the Masry of the Prophet of Islam Muhammad, may God bless him and grant him peace # Mosque_Aqsa # Jerusalem # Palestine # Pictures",real
"Sea, Beach, Sky, Wave, Ocean, Water, Horizon, Shore, Wind wave, Coast",Sunset on Gaza Beach ... # sunset # Gaza # pictures # fisherman,real
"Metropolitan area, City, Metropolis, Cityscape, Skyline, Landmark, Urban area, Skyscraper, Human settlement, Downtown",Buildings # China adorn the pictures of members of its medical staff to praise their role in combating # Corona Virus # Jerusalem newspaper # Palestine # China # Corona Virus,real
"Flag, Sky, Mountain, Mountain range, Tourism, Sea, Cloud, Ocean, Vacation, Coast",Your morning is Palestinian. Jerusalem newspaper. New day. Good morning,fake
"Event, Official","Urgent: Prince Charles, British Crown Prince, infected with the virus # Jerusalem newspaper # Prince Charles # Corona virus",real
"Street fashion, Fun, Recreation, Walking, Tourism, Vacation, Photography, Street",Workers return from their workplaces within the 48 lands through the Jubara checkpoint near Tulkarm. # Corona Virus # Workers # Barriers # Photo,fake
"Sky, Road, Lane, Street, Asphalt, Thoroughfare, Mode of transport, Street light, Road surface, Infrastructure","Ramallah is empty of the population due to the SK virus. Ramallah, Virus, Corona",real
"Strawberry, Strawberries, Plant, Fruit, West Indian raspberry , Berry, Accessory fruit, Frutti di bosco, Food, Alpine strawberry",Red gold blooms in Gaza ... # Gaza # strawberry # farms # photos # fruits # nature,real
"Metropolitan area, City, Skyline, Skyscraper, Cityscape, Urban area, Metropolis, Daytime, Human settlement, Tower block","New York, which does not sleep even in the winter, is transformed into a ghost town due to the Corona virus .. # New York # Corona Virus # curfew",real
"Face, Hair, Lip, Fur, Eyebrow, Fur clothing, Nose, Facial expression, Skin, Cheek","A 16-year-old French girl lost her life due to infection with the Corona virus, to become the youngest person to die from the virus in Europe, after suffering respiratory problems at a hospital in Paris, preceded by a slight cough for the first time a week ago. Her sister told the media: We must stop believing that corona only affects the elderly, so no one is immune to this deadly virus. # Al-Quds Newspaper # Palestine # France # The Krone Virus",fake
"Industry, Machine, Pipe, Metal, Gas, Metalworking, Factory, Engineering, Aerospace engineering, Steel","The two brother engineers, Yazid and Moufid Alawneh, graduates of Khadouri University, from the town of Jaba, south of Jenin, were able to create a turbocharger to sterilize their town to prevent corona virus.",real
"Helmet, Personal protective equipment, Headgear, Vehicle, Fictional character, Flesh, Costume","Rajesh Babu a policeman in India, wearing a helmet in the form of a Corona virus to prevent bicyclists from going out during the curfew imposed by the country in a move to avoid the spread of Corona virus",real
"Property, Floor, Flooring, Concrete, Building, House",Building quarantine centers for people living with coronavirus in Gaza .. # Gaza # Corona virus # quarantine,real
"Tent, Camping, Recreation, Tints and shades, Leisure, Shade","A California doctor working on the front lines to treat those infected with the #Krona virus decided to isolate himself from his family, so he set up a tent in his garage to sleep every night after returning from the hospital where he works, to protect his wife and children from the disease.",real
"Tree, Plant, Botany, Woody plant, Adaptation, Flower, Shrub",The season for picking green almonds in the Gaza Strip .. # almonds # Gaza # photos # nature # farms,real
"Motor vehicle, Vintage car, Vehicle, Car, Classic car, Classic, Antique car, Vintage advertisement",Happened on this day ... #the_with_this_this_today #the Jerusalem_spaper,fake
"Dish, Food, Cuisine, Ingredient, Manakish, Produce, Sfiha, Recipe, Za'atar, Baked goods",May Allah bless your followers ... An integrated healthy breakfast is important in this period .. # Al-Quds Newspaper # Palestine # A healthy breakfast # New Day,real
"Baby carriage, Product, Pink, Baby Products, Pedestrian, Walking, Street, Recreation, Tourism, Vehicle",Ronaldo on a stroll with his family on the streets of Portugal during the quarantine .. # Cristiano_Ronaldo # health_stones # photos,real
"Flag, Umbrella, Fun, Tree, Technology, Protest, Event, Fashion accessory, Crowd, Signage",Part of the commemoration of the 44th anniversary of Earth Day by raising the Palestinian flag over houses and a march of vehicles in the city of Ramallah. By lens: Muhammad Nofal # Jerusalem newspaper # Palestine # Ramallah # Earth Day,real
"Flag, Illustration","May God bless your morning, our followers .. Cartoons today .. # Al-Quds Newspaper # Palestine # Comics # New Day",fake
"Clown, Carnival, Costume, Public event, Event, Performing arts, Smile, Festival, Fun, Headgear",Artists wearing clown costumes for children in Gaza ...,real
"Dog, Sky, Canidae, German shepherd dog, Dog breed, Snout, Carnivore, Companion dog, Cloud, Square","The scenes of life are lacking in # Istanbul, which is known for its hustle and bustle, after the country recorded more than 15,000 cases of epidemic # Corona ... Photo: French News Agency.",fake
"Architecture, Building, Holy places, Arch, Landmark, Classical architecture, Arcade, Caravanserai, Sky, Facade",Friday blessing our followers ... # Al-Quds Newspaper # Friday_ blessing,fake
"Place of worship, Mosque, Spire, Steeple, Building, Dome, Architecture, Khanqah, Sky, Flag","Lebanon is witnessing a popular commitment, noting the authorities ’decision to prohibit roaming and closing institutions and stores from seven in the evening until five in the morning every day, in addition to the general mobilization decisions taken. # Lebanon # Corona Virus # Curfew # Pictures",fake
"Cat, Alley, Felidae, Small to medium-sized cats, Street, Aegean cat, Town, Road, Snapshot, Cobblestone",The Old City of Occupied Jerusalem is Free of Passers-by !!! # Jerusalem # Old town # Corona virus,real
